text,banks_referenced,author,article_title,publication_date,is_comparative
"Wall Street analysts are betting Citigroup will miss a critical long-term target, heaping pressure on chief executive Jane Fraser to prove her sweeping overhaul will succeed in turning around one of America's biggest banks.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"Analysts expect Citi to reach return on tangible common equity - a closely watched profitability measure - of just over 9 per cent next year, well short of Fraser's goal set in 2022 of hitting 11 per cent to 12 per cent by 2026, FactSet data shows.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"The gulf highlights how the overhaul Fraser has led since taking the helm as CEO four years ago has yet to revive the third-biggest US bank by assets, which has struggled to find its footing since its near collapse at the height of the 2008 financial crisis.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"Doubts over whether Citi can boost revenues and cut costs enough to meet its profitability target have left its shares, even after rising by more than a third in the past year, trading at about 30 per cent below book value.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"Citi will report its fourth-quarter earnings next week. The bank is expected to swing to a profit from a loss in the last three months of 2023, but the bank's return on tangible equity is only predicted to be 5.6 per cent.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",jpmorgan,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",bankofamerica,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True
"Despite Citi lagging behind its rivals on return to tangible equity, about 70 per cent of Wall Street analysts have assigned the bank a ""buy"" rating.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"""The outcomes for Jane are about as wide as you can get,"" said Wells Fargo analyst Mike Mayo, who recently predicted Citi would reach its return on tangible equity target, but not until 2027.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"Fraser, a Citi veteran and former McKinsey partner, has sought to meet her profitability target by streamlining the sprawling bank. Citi has exited consumer banking in 13 countries, including China, India and the UK.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
"Fraser has also flattened Citi's management structure, cutting down its levels of seniority from 13 to eight. And she has refocused the bank around five core businesses, as well as its mission to woo the world's largest companies and wealthiest individuals to become clients.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False
